科目名,年度,クォーター,時間割コード,テーマ
グローバル文化特別演習Ｂ,2019,第4クォーター,4HA37,卒業論文の作成に向けて、受講生の報告と基本文献の読解を組み合わせて、視点の確立と知識の向上とを図ります。
統計的問題解決法,2019,第1クォーター,1H605,問題解決を適切に行うためには、まず、現状把握から始めることが大切である。現状を把握するためには、事実をデータとして客観的に捉えることが重要であり、そのための統計的手法の習得が前提となる。この講義では、問題解決の基本的な考え方と、基本的な統計の概念を学び、実社会において問題を解決する方法を身につける。
計算代数Ａ,2019,第1クォーター,1H617,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには、その数理モデルを解くことが必要である。この授業では、不定元が１つの代数方程式を解くことに必要な理論や算法（アルゴリズム）について学ぶ。
数理モデルプログラミング,2019,第2クォーター,2H605,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには，数理モデルをコンピュータで解決する必要が出てくる。本授業では，簡単な数理モデルをいくつか設定し，その問題解決をコンピュータで行う基本的な方法を学び，その結果を考察する。
計算機科学入門,2019,第1クォーター,1H606,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには，様々な計算やデータの整理などに計算機を活用する必要があります。本授業では，計算機に様々な計算をさせる方法や，データの整理や提示などの技術について学ぶます。
多変量解析,2019,第1クォーター,1H619,多変量解析法の基礎的な考え方を理解し，実データに対して応用できる能力を養う．
数理科学入門（統計系）,2019,第2クォーター,2H604,確率変数とその関連概念，標本分布，統計的推定，統計的検定の基礎に関して講義する．
環境生命化学,2019,第3クォーター,3H614,生体中で機能する主要化合物の基本的性質とその働きを分子レベルで講述する。さらにそれらの知見をもとにし、生物を越える機能性化合物の分子設計について考える
English Presentation Skills A,2019,第1クォーター,1H052,"Students will develop their oral communication skills by participating in various presentation- and debate-oriented activities that are drawn from themes encountered through listening and reading segments. Course materials are drawn from Internet news and other reputable sources, giving students a good opportunity to experience  authentic, international English and to respond to current issues of global interest."
English Presentation Skills B,2019,第2クォーター,2H052,"Students participate in a variety of listening- and reading-prompted speaking activities. Course materials are drawn from Internet news and other reputable sources, giving students a good opportunity to experience  authentic, international English and to respond to current issues of global interest."
環境形成科学実験Ｃ,2019,第2クォーター,2H628,コップを握る手の力の変化を測定する装置を製作することにより，金属導体と半導体のピエゾ抵抗効果，ブリッジ回路によるセンシング，トランジスタ増幅回路などの原理とそれらの利用方法について学ぶ。また，コップに水を注いでいったとき，人は無意識の中でコップを握る手の力をどのように変化させているのか，被験者実験をとおして得られた結果を人間工学の観点から考察する。
初等理科教育論１,2019,第3クォーター,3H709,初等教育における理科に関する目標・内容・方法・評価について，基礎的・基本的な知識を概観する．
グローバル教育演習（教育制度）１,2019,第3クォーター,3H728,グローバル化社会における教育制度の位置と課題を読み解く
環境形成科学実験Ｄ,2019,第4クォーター,4H623,人が健康で快適な日常生活を送るためには，どのようにして環境と生体情報を計測し，データ処理や解析を行えばよいかについて，光，温度，音，気圧などの環境計測実験，健康のための生理，行動，睡眠などの生体情報計測実験，マイクロコンピュータを用いたデータ処理や解析をとおして理解を深める
初等理科教育論２,2019,第4クォーター,4H709,初等教育における理科に関する目標・内容・方法・評価について，基礎的・基本的な知識を概観する．
グローバル教育演習（教育制度）２,2019,第4クォーター,4H728,グローバル化社会における教育制度の位置と課題を読み解く
English Presentation Skills A,2019,第1クォーター,1H053,"Students will develop their oral communication skills by participating in various presentation- and debate-oriented activities that are drawn from themes encountered through listening and reading segments. Course materials are drawn from Internet news and other reputable sources, giving students a good opportunity to experience  authentic, international English and to respond to current issues of global interest."
工芸実践演習１,2019,第1クォーター,1H241,この授業では、工芸の代表的なジャンルである陶芸の造形作品制作を通し、素材と技法のバランスによって生まれる工芸独自の表現の可能性を探る。
日本メディア文化論Ａ,2019,第1クォーター,1H327,日本映画の歴史と映画学的分析の基礎を学ぶ 前篇黎明期から主に戦前の日本映画の歴史について解説しながら、映画学的な分析方法の基礎を学んでもらう。そのことを通じて、現代の私たちを取り巻く映像文化を批判的に読み解く技術を身につけてもらう。
ヨーロッパ社会文化論Ａ,2019,第1クォーター,1H341,テーマ：ヨーロッパ文学の中の女性17世紀から20世紀までのフランスなどヨーロッパ文学に描かれるヒロインに注目して、そのような女性像が生まれる時代背景、社会状況および作者のジェンダーの影響があるかどうかなどについて考えます。
ＩＴコミュニケーションデザインＡ,2019,第1クォーター,1H375,社会には大小さまざまな問題があり、努力や教育では解決には至らないものも少なくない。人はミスをするものだし、能力にも限界がある。性格にも文化にも多様性がある。人の弱さや多様性を認め、障壁を緩和できる道具や環境をデザインする発想が問題解決の鍵になる。今や情報技術はそういったデザインを行い、実装するうえで欠かせないものとなっている。「ITコミュニケーションデザイン」では、情報技術を利用したコミュニケーションのデザイン実例を通して、デザインによる問題解決について学習する。
グローバル文化形成基礎演習Ｃ,2019,第1クォーター,1H397,人文学研究におけるデジタル・アーカイヴスの方法論
認知発達心理学１,2019,第1クォーター,1H518,本授業は，人間の心の働きのうち，特に社会的場面での認知発達に焦点を当てて学習し，コミュニケーションの発達の理解を深めるものです。教育心理学など関連領域の知見のみならず，近年の心理学の最新の知見を取り入れながら，映像を用いて，人間の心の発達を概説していきます。
公衆衛生学１,2019,第1クォーター,1H537,【授業のテーマ】　高齢化社会を迎え、今日では単に病気を予防するだけでなく、健康を増進し、肉体的、精神的、および社会的に健康で暮らすことが求められている。この目的のためには、個人の努力に加えて、保健医療制度の充実、衛生環境の整備、衛生行政など、集団としての努力も必要である。公衆衛生学は、地域社会の努力を通して病気を予防し、生命を延長し、健康増進をはかる科学であり技術である。本講義では、公衆衛生学の基礎知識や各人が健康な生活を送るための術について習得することを目的とする。
包括支援システム論,2019,第1クォーター,1H557,社会の多様性を創り出す組織として、行政・市民・大学・企業の活動に着目し、すべての人のwell-beingの実現の在り方について理解を深める。
環境生命科学Ａ,2019,第1クォーター,1H602,生命科学の基礎として、生体中で機能する主要化合物の基本的性質とその働き、またそれらが複合的に機能して営む代謝とエネルギー生成、機能場所である細胞について講述する。
初等体育論１,2019,第1クォーター,1H726,小学校体育における体育の指導内容と指導方法について、演習を含めて実施し，小学校体育の基礎的な能力を身につける。
比較教育政策論１,2019,第1クォーター,1H732,中央政府および地方政府における教育政策を「人間の発達保障」の観点から理解する。 国際人間科学部の科目にふさわしく、国際比較を通して教育政策を学ぶ。
English Presentation Skills B,2019,第2クォーター,2H053,"Students participate in a variety of listening- and reading-prompted speaking activities. Course materials are drawn from Internet news and other reputable sources, giving students a good opportunity to experience  authentic, international English and to respond to current issues of global interest."
工芸実践演習２,2019,第2クォーター,2H241,この授業では、工芸の代表的なジャンルである染色の造形作品制作を通し、素材と技法のバランスによって生まれる工芸独自の表現の可能性を探る。
日本メディア文化論Ｂ,2019,第2クォーター,2H327,日本映画の歴史と映画学的分析の基礎を学ぶ 後篇戦後から主に1960年代までの日本映画の歴史について解説しながら、映画学的な分析方法の基礎を学んでもらう。そのことを通じて、現代の私たちを取り巻く映像文化を批判的に読み解く技術を身につけてもらう。
ヨーロッパ社会文化論Ｂ,2019,第2クォーター,2H341,テーマ：文学の中の戦争19・20世紀のヨーロッパ（主にフランス）文学の中で、戦争がどのような視点から描かれ、そこには作者のどのような世界観や思想が反映されているのでしょうか？　有名な作品中のナポレオン戦争、普仏戦争、第一次・第二次世界大戦に関連する部分を主に検討しながら、ヨーロッパ近代について考えます。
ＩＴコミュニケーションデザインＢ,2019,第2クォーター,2H375,社会には大小さまざまな問題があり、努力や教育では解決には至らないものも少なくない。人はミスをするものだし、能力にも限界がある。性格にも文化にも多様性がある。人の弱さや多様性を認め、障壁を緩和できる道具や環境をデザインする発想が問題解決の鍵になる。今や情報技術はそういったデザインを行い、実装するうえで欠かせないものとなっている。「ITコミュニケーションデザイン」では、情報技術を利用したコミュニケーションのデザイン実例を通して、デザインによる問題解決について学習する。
グローバル文化形成基礎演習Ｄ,2019,第2クォーター,2H397,人文学研究におけるデジタル・アーカイヴスの方法論
認知発達心理学２,2019,第2クォーター,2H518,本授業は，人間の心の働きのうち，特に社会的場面での認知発達に焦点を当てて学習し，コミュニケーションの発達の理解を深めるものです。教育心理学など関連領域の知見のみならず，近年の心理学の最新の知見を取り入れながら，映像を用いて，人間の心の発達を概説していきます。
公衆衛生学２,2019,第2クォーター,2H537,【授業のテーマ】　高齢化社会を迎え、今日では単に病気を予防するだけでなく、健康を増進し、肉体的、精神的、および社会的に健康で暮らすことが求められている。この目的のためには、個人の努力に加えて、保健医療制度の充実、衛生環境の整備、衛生行政など、集団としての努力も必要である。公衆衛生学は、地域社会の努力を通して病気を予防し、生命を延長し、健康増進をはかる科学であり技術である。本講義では、公衆衛生学の基礎知識や各人が健康な生活を送るための術について習得することを目的とする。
初等体育論２,2019,第2クォーター,2H726,小学校体育における体育の指導内容と指導方法について、演習を含めて実施し，小学校体育の指導能力を身につける。
比較教育政策論２,2019,第2クォーター,2H732,中央政府および地方政府における教育政策を「人間の発達保障」の観点から理解する。 国際人間科学部の科目にふさわしく、国際比較を通して教育政策を学ぶ。
ＴＯＥＦＬ演習Ａ,2019,第3クォーター,3H050,"This is a TOEFL test preparation course. Students will learn about the TOEFL test overall, practice all sections of the test (reading, speaking, listening, writing), and will work on test-taking strategies to improve their scores."
English for Professional Purposes A,2019,第3クォーター,3H057,"In this course students will acquire communication skills that enable them to respond appropriately in various work-related situations in English. This course aims for students to use English accurately and flexibly for the purpose of communicating in a wide range of professional roles. English for Professional Purposes A especially aims for students to engage in realistic communicative settings that are relevant to the business world, such as negotiations, discussion, and/or interviews. At the same time, students can improve practical English comprehension and production skills as well as verbal and non-verbal expression."
アフォーダンス論演習１,2019,第3クォーター,3H561,人の習慣と環境の構造との関係を見つめる観察実践を通して、人の活動が向かう先にある価値（アフォーダンス）の場や文脈の問題を、科学の俎上に載せるためのオリジナルな方法を主体的に模索し、発見する。環境と人間との関係の徹底的な観察を通して、「思い込み」を越えて「リアル」に迫るための方法を各自で主体的に考案する。
社会教育課題研究（自然共生地域支援論）１,2019,第3クォーター,3H566,この授業は、自然共生および自然共生地域支援に興味がある方を対象におこないます。座学および現地でのフィールドワークを通じて、自然共生地域支援の実態をみながら、現在の課題やそれらの解決に資する研究方法について考えます。
グローバル文化特別演習Ａ,2019,第3クォーター,3HA06,欧米式学問・知識をとりこもうとする明治維新以来の我が国の教育システムは、現代日本人の価値観形成に大きな影響を与えてきました。私たちが意識しているか否かにかかわらず、近代ヨーロッパで成立したさまざまな思想や観念をごくあたりまえの前提としてしまっていることが多いのです。このいわばグローバルスタンダードとなったヨーロッパ文明を批判的にながめるための手がかりとして、フランス近代に注目します。近代フランスにおける「植民地」「共和国」「国家主義」「オリエンタリズム」などについて考察した文献を読んでいきます。
グローバル文化特別演習Ａ,2019,第3クォーター,3HA25,卒業論文の完成
ＴＯＥＦＬ演習Ｂ,2019,第4クォーター,4H050,"This is a TOEFL test preparation course. Students will learn about the TOEFL test overall, practice all sections of the test (reading, speaking, listening, writing), and will work on test-taking strategies to improve their scores."
English for Professional Purposes B,2019,第4クォーター,4H057,"In this course students will acquire communication skills that enable them to respond appropriately in various work-related situations in English. This course aims for students to use English accurately and flexibly for the purpose of communicating in a wide range of professional roles. English for Professional Purposes A especially aims for students to engage in realistic communicative settings that are relevant to the business world, such as negotiations, discussion, and/or interviews. At the same time, students can improve practical English comprehension and production skills as well as verbal and non-verbal expression."
アフォーダンス論演習２,2019,第4クォーター,4H561,人の習慣と環境の構造との関係を見つめる観察実践を通して、人の活動が向かう先にある価値（アフォーダンス）の場や文脈の問題を、科学の俎上に載せるためのオリジナルな方法を主体的に模索し、発見する。環境と人間との関係の徹底的な観察を通して、「思い込み」を越えて「リアル」に迫るための方法を各自で主体的に考案する。
社会教育課題研究（自然共生地域支援論）２,2019,第4クォーター,4H566,この授業は、自然共生および自然共生地域支援に興味がある方を対象におこないます。座学および現地でのフィールドワークを通じて、自然共生地域支援の実態をみながら、現在の課題やそれらの解決に資する研究方法について考えます。
グローバル教育演習（子どもの保健）,2019,第4クォーター,4H730,欧米並びにアジアの保健に関わる制度並びに子どもと学校が抱える健康課題を多面的に認識し、その解決のための方策について論考する。
グローバル文化特別演習Ｂ,2019,第4クォーター,4HA06,欧米式学問・知識をとりこもうとする明治維新以来の我が国の教育システムは、現代日本人の価値観形成に大きな影響を与えてきました。私たちが意識しているか否かにかかわらず、近代ヨーロッパで成立したさまざまな思想や観念をごくあたりまえの前提としてしまっていることが多いのです。このいわばグローバルスタンダードとなったヨーロッパ文明を批判的にながめるための手がかりとして、フランス近代に注目します。近代フランスにおける「植民地」「共和国」「国家主義」「オリエンタリズム」「フェミニズム」などについて考察した文献のうち、参加者の興味にしたがってテキストを決めます。
グローバル文化特別演習Ｂ,2019,第4クォーター,4HA25,卒業論文の完成
近現代アート論Ａ,2019,第1クォーター,1H347,第二次世界大戦を契機に、世界の美術の中心はパリからニューヨークに移る。また、冷戦終結に伴い旧共産圏や途上国出身の作家も活躍するようになる。近現代アート論Aでは、モダンアートの起源から1970年代前後の動向まで、アメリカ、日本、ヨーロッパにおける展開を中心に講義する。
メディア社会文化論Ａ,2019,第1クォーター,1H365,Film as a social prism: The British case
グローバル文化形成発展演習Ｃ,2019,第1クォーター,1H408,この演習では、文化人類学の多様なテーマをとりあげ、文献資料を購読、分担を決めた上で、担当者が発表し、その内容について議論を行なう。後半は各自のテーマで調査し、結果を発表する。テーマを発見し、調査することのおもしろさ、議論の楽しさを知ることをめざす。
グローバル社会動態発展演習Ｃ,2019,第1クォーター,1H416,EU統合に関わる事象を中心に国際関係論の思考枠組みを理解し、その基礎的視野を身につける。移民・難民問題は重要な柱となる。
ミュージックセラピー１,2019,第1クォーター,1H508,音楽の諸理論の中でのミュージックセラピーの位置づけについて、理論と実践両側面から講義する。音楽療法の歴史と理論を紹介する一方、国内外における音楽療法の実践を、実際の映像や音源を紹介しながら解説する。
社会調査法１,2019,第1クォーター,1H514,社会について考察する上で重要なツールである社会調査とは、具体的には、何らかの形でのデータの収集と分析を行うものである。その手法は様々だが、質問紙などを使って得たデータを統計的に分析する定量的調査とインタビューやフィールドワークなどで得たデータを分析する定性的調査に大きく分けることができるだろう。この講義ではこのうちの定量的調査について扱う。統計を用いた社会調査の目的、歴史、方法論などの学習を通じ、定量的調査の基礎を理解することが本講義の目的となる。
発達アセスメント１,2019,第1クォーター,1H529,子どもの発達と障害を評価するための様々な心理検査について基本的な知識を身につけるとともに、演習を通して検査法の実際について学ぶ。
発達アセスメント１（心理的アセスメント１）,2019,第1クォーター,1H530,子どもの発達と障害を評価するための様々な心理検査について基本的な知識を身につけるとともに、演習を通して検査法の実際について学ぶ。
スポーツマネジメント,2019,第1クォーター,1H540,スポーツが「ビッグビジネス」として肥大化していく中で，人々はスポーツを単に出来合いの（レディーメイド）のプロダクト（商品・サービス）として受け入れているだけではない。スポーツをもっと自由に，手づくり（ハンドメイド）で楽しもうとする気運も盛り上がっているのである。しかし，現代のスポーツ社会には，およそある一組織の努力だけでは達成しきれない難問が山積している。それゆえ，一組織の枠（テリトリー）を超えた「協働的スポーツ生産」という認識が必要となる。換言すれば，グローバルスポーツとローカルスポーツが共生する「新しいスポーツ社会」の実現である。コントロールの主体は組織であってもいいし，集団や，時には個人であってもよいのである。大切なことは，それぞれが自身のスポーツ生産に責任を持とうとする姿勢である。　本授業では，特定のスポーツ組織（企業）が生き残るための知恵やアイデアなどを収集しただけの従来のスポーツマネジメントと，21世紀に望まれるスポーツマネジメント（21世紀型スポーツマネジメント）との基本的な違いについて概説するとともに，多主体協働共生のスポーツマネジメントを重視する立場から，スポーツ生産の主体とは一体誰なのかを改めて考えてみたり，それぞれが自身のスポーツ生産に責任を持つためにはどうすればよいのかを模索したりする機会を提供する。
トラック＆フィールド実習１,2019,第1クォーター,1H542,陸上競技（走る、跳ぶおよび投げる）のパフォーマンスに影響する要因を探りながら各運動種目を実習し、陸上競技の特性を理解する。さらに、体つくり運動と関連して、体力を高める運動について、実習しながら計画的に体力を高めることについて学習する。 実習１では、陸上競技のトラック種目について取り上げ、各種目でのパフォーマンスを向上することについて学習するとともに、走運動を主として体力を高めることについて理解する。
空間アート実践１,2019,第1クォーター,1H553,本授業は空間造形の基本的な知識や技法、そして表現のための素材材料について､基礎実習をとおして体験し､知る。そのことによって､造形に関する幅広い応用への基礎力を養います。
緑地環境論,2019,第1クォーター,1H611,庭、庭園、公園、都市緑地など人間と植物の関係性から見えてくる人間環境における緑化の役割を深く理解するとともに緑化の技法を学習して、学生に植物を取り入れたより良い生活環境とは何かを考えさせる。
環境応用科学実験Ｃ１（物質環境）,2019,第1クォーター,1H621,授業のテーマ　有機化学，無機化学，分析化学，高分子化学に関する実験技術の習得を目的とする。
グローバル教育文献演習１,2019,第1クォーター,1H728,"Shirly,D.『The Politics of Progressive Education』を精読することを通して、教育学の原典の基礎的な読み方を習得することを目指す。"
近現代アート論Ｂ,2019,第2クォーター,2H347,第二次世界大戦を契機に、世界の美術の中心はパリからニューヨークに移る。また、冷戦終結に伴い旧共産圏や途上国出身の作家も活躍するようになる。近現代アート論Bでは、1970年代の動向から21世紀のグローバル化したアートシーンまで、多岐にわたるトピックを扱う。
メディア社会文化論Ｂ,2019,第2クォーター,2H365,Film as a social prism: The British case 2
グローバル文化形成発展演習Ｄ,2019,第2クォーター,2H408,この演習では、文化人類学の多様なテーマをとりあげ、文献資料を購読、分担を決めた上で、担当者が発表し、その内容について議論を行なう。後半は各自のテーマで調査し、結果を発表する。テーマを発見し、調査することのおもしろさ、議論の楽しさを知ることをめざす。
グローバル社会動態発展演習Ｄ,2019,第2クォーター,2H416,EU統合に関わる事象を中心に国際関係論の思考枠組みを理解し、その基礎的視野を身につける。移民・難民問題は重要な柱となる。
ミュージックセラピー２,2019,第2クォーター,2H508,作曲された音楽、即興的に作られた音楽などを用いた音楽の臨床的意義と役割について、映像や音声などを通して具体的に紹介し、解説する。 特に、未就学児童から青年期までの発達において音楽がどのような作用ともたらすのか、教育の場での実践例を基に、講義および実演を行う。
社会調査法２,2019,第2クォーター,2H514,この講義では、さまざまな「質的データ」の収集や分析方法について解説する。とくに、今後、質的調査を実施する際に選択することになるフィールドワーク、参与観察、インタビューなどの質的調査の方法と質的データの分析の方法を、それらが調査の目的や問いとどのような対応関係にあるのかを明確にしながら学ぶ。さらに、質的調査を実施するにあたって、最低限身につけるべき調査倫理について学ぶ。
発達アセスメント２,2019,第2クォーター,2H529,子どもの発達と障害を評価するための様々な心理検査について基本的な知識を身につけるとともに、演習を通して検査法の実際について学ぶ。
発達アセスメント２（心理的アセスメント２）,2019,第2クォーター,2H530,子どもの発達と障害を評価するための様々な心理検査について基本的な知識を身につけるとともに、演習を通して検査法の実際について学ぶ。
トラック＆フィールド実習２,2019,第2クォーター,2H542,陸上競技（走る、跳ぶおよび投げる）のパフォーマンスに影響する要因を探りながら各運動種目を実習し、陸上競技の特性を理解する。さらに、体つくり運動と関連して、体力を高める運動について、実習しながら計画的に体力を高めることについて学習する。 実習２では、陸上競技のフィールド種目について取り上げ、各種目でのパフォーマンスを向上することについて学習するとともに、跳躍運動及び投てき運動を主として体力を高めることについて理解する。
空間アート実践２,2019,第2クォーター,2H553,平面から立体へをテーマに実習を行う。次元を変えることによる創造性について考察を行うとともに、実際に制作することで、そのことを実証します。
環境思想史,2019,第2クォーター,2H608,この授業では、人間と環境との関係理解に必要な思想史的知識を提供する。具体的には、(1)現代の環境思想の概要を解説するとともに、(2)「近代的自然観の克服」という観点からより広い思想史的背景を説明する。
環境応用科学実験Ｃ２（物質環境）,2019,第2クォーター,2H621,授業のテーマ　有機化学，無機化学，分析化学，高分子化学に関する実験技術の習得を目的とする。
環境形成科学実験Ｂ,2019,第2クォーター,2H627,食品を対象とした定量・定性分析実験を通して、環境計測の手法を身につける。
アプライアンス環境論,2019,第2クォーター,2H629,身の回りの電気，機械，情報に関わる基本的な知識を習得できるように，身近なエレクトロニクス機器とエネルギー利用機械の動作原理と構造，アナログ・ディジタル計測技術，人間中心の製品設計の考え方などについて学ぶ。
グローバル教育文献演習２,2019,第2クォーター,2H728,"Shirly,D.『The Politics of Progressive Education』を精読することを通して、教育学の原典の基礎的な読み方を習得することを目指す。"
途上国農村地域開発論,2019,第3クォーター,3H032,グローバル化が進行する現在の地球的課題について、農村地域の問題を人文地理学的視点から捉えることは重要である。この授業では、農村地域をグローバル化の観点で、地理的環境や民族性と関連付けながら捉える方法を学ぶ。
English for Professional Purposes A,2019,第3クォーター,3H058,"In this course students will acquire communication skills that enable them to respond appropriately in various work-related situations in English. This course aims for students to use English accurately and flexibly for the purpose of communicating in a wide range of professional roles. English for Professional Purposes A especially aims for students to engage in realistic communicative settings that are relevant to the business world, such as negotiations, discussion, and/or interviews. At the same time, students can improve practical English comprehension and production skills as well as verbal and non-verbal expression."
保健体育科教育論Ｂ１,2019,第3クォーター,3H206,中学校および高等学校保健体育科の学習指導要領を基に、保健体育科教育の考え方や学習指導の進め方について理解するとともに、「授業づくり」、「指導案づくり」について学習し、教材について深く理解した上で実践授業（模擬授業）を行い、保健体育教師としての力量（指導力）を高めることを目的とする。
科学技術文明論１,2019,第3クォーター,3H342,いのちの問題とサイボーグ研究　（バイオ権力の時代をどう考える？）　基礎編１人間のいのちは、作ることができるでしょうか？「こころ」はクスリでチューニングできるし、脳みその機能をかまうことも始まっています。すでにニンゲンの「サイボーグ化」は始まっています。そして新しい赤ちゃんをデザインして（デザイナー・ベビー）ができる時代に、私たちは生きています。で、問題は、それはいいことなのか？ということです。こういうこと、いったい、どうしたらいいのだろう？そういうことをちゃんと考えていきたいと思っています。臓器は移植できるとして、それはどこまで、（たとえば脳みそとか、「意識」のコンピュータ上への移植とか）、できるのか？人間は、「不老不死」になれるのか？赤ちゃんを作る、とか、ニンゲンの遺伝子を操作して、「スーパー赤ちゃん」をデザインできるようになったらどうなるのか？などなどを考えていきたいと思っています。
平和構築論Ａ,2019,第3クォーター,3H359,本講は、中東地域を事例として、国際関係論の主要な理論を再考し、代替理論を提示する。本稿を通じて、国際関係論の基本（欧米諸国が起源のモデル）と欧米ではない地域の政治を同時に体得することができる。非欧米地域を理解するためには他者であるオリエンタリズム（欧米による東洋への固定観念）を注意する視線が必要であると知られる。本講は、中東は観察対象の他者ではなく、日本の交流のパートナーであると見なすことで、これを乗り越える。また一次情報に基づいてイスラームや中東政治を考察する方法により、国家間戦争、国内戦争、テロリズムに関して分析し、途上国地域に適した理論を考案する。民主化移行期は武力紛争が起きる確率の高い危険な過程であると知られるが、民主化という理想と失敗を「アラブの春」以降の中東を事例に考えて見よう。本講は、アクティブラーニングの方法で授業を進める。英語版と日本語版の二元資料（パワーポイント）で講義する。
近現代経済思想論１,2019,第3クォーター,3H360,今日における資本主義の変容と統治問題　その１情報化やグローバル化をキーワードに語られる今日の資本主義が、18世紀以来の古典的資本主義とどのように異なり、また同じであるかを考える。その際、問題を経済的次元に限定させることなく、政治、とりわけ市場や人間の生そのものの管理や統治をめぐる諸思想との関連に留意する。
音声コミュニケーション論１,2019,第3クォーター,3H370,調音音声学入門
統計情報処理１,2019,第3クォーター,3H378,高度情報化の現在において、統計的情報処理は人文科学の多くの分野で不可欠なものとなっている。世論調査などで得られた数値データを統計的な方法で処理し、その結果を解析する手法は、社会現象を取り扱うアプローチのひとつとして、頻繁に使われている。これと逆に、数値データに基づき、現象の数理モデル化を行い、そのモデルに対してシミュレーションを実行することによって、その現象の起こる機構を明らかにし、また、その現象の行方を推測することも、よく行われるアプローチである。 講義では、適当な例を取り、上の二つのアプローチによる解析を行うことによって統計的情報処理のテクニックを学ぶとともに、その有効性と限界についての理解を深める。
グローバル文化形成発展演習Ａ,2019,第3クォーター,3H409,テーマ：『ゴリオ爺さん』『ジェルミナール』と19世紀フランス社会　19世紀のフランスは、20世紀以降の世界（日本を含む）で起きるさまざまな社会問題の萌芽が見られ、それへの対処法について議論された時代であり、現代日本のアクチュアルな問題と結び付けることのできる、研究課題の宝庫ともいえる時代です。文学史的に見れば、小説というジャンルがフランスで最高潮に達した時期とも重なります。バルザックとゾラは19世紀フランス文学の巨匠たちですが、その小説中でそれぞれ世紀前半と後半のフランス社会を描きました。彼らの数多い傑作から、復古王政時代(1814-1830)のパリを舞台に人間たちの愛、欲望、野心、金銭がからみあうバルザックの『ゴリオ爺さん（ペール・ゴリオ）』と、第二帝政時代(1852-1870)のフランス北部地方の炭鉱ストライキを題材にしたゾラの『ジェルミナール』を選びました。この2つの有名な小説をとおして19世紀フランスについて学ぶとともに、優れた文学作品を読む楽しみを味わいましょう。
環境物質科学Ａ,2019,第3クォーター,3H603,前半は物質科学の基礎として、生体中で機能する主要化合物の基本的性質とその働きについて講述する（江原）。後半は物質の構造解析における主要な手法と原理について後述する（尾崎）。
環境応用科学実験Ｂ１（生物環境）,2019,第3クォーター,3H617,環境科学における生物学的研究手法の実習を行う．
地域景観生態論,2019,第3クォーター,3H624,緑化に用いられる植物の具体的な種類や性質を深く理解させるとともに、緑化の技術を学習して植物を利用した快適な生活環境や景観の創造や維持管理手法に関わる知識を習得させる。
障害児発達学１,2019,第3クォーター,3H733,誕生（胎生期）から幼児期の定型的な発達の過程について学び、知的障害などの障害がある場合に気づきのポイントとなる、発達のマイルストーンについて理解を深める。また、乳幼児健診や基本的な発達検査・知能検査の概要についても学び、早期発見・早期療育の意義と課題、望ましい発達支援のあり方について検討する。
障害児発達学１（障害者・障害児心理学１）,2019,第3クォーター,3H734,誕生（胎生期）から幼児期の定型的な発達の過程について学び、知的障害などの障害がある場合に気づきのポイントとなる、発達のマイルストーンについて理解を深める。また、乳幼児健診や基本的な発達検査・知能検査の概要についても学び、早期発見・早期療育の意義と課題、望ましい発達支援のあり方について検討する。
English for Professional Purposes B,2019,第4クォーター,4H058,"In this course students will acquire communication skills that enable them to respond appropriately in various work-related situations in English. This course aims for students to use English accurately and flexibly for the purpose of communicating in a wide range of professional roles. English for Professional Purposes A especially aims for students to engage in realistic communicative settings that are relevant to the business world, such as negotiations, discussion, and/or interviews. At the same time, students can improve practical English comprehension and production skills as well as verbal and non-verbal expression."
科学技術文明論２,2019,第4クォーター,4H342,科学論、なかでも科学哲学：ガリレオとデカルトを追い詰める。科学の本質を、思想的な問題として追っかけていきたいと思います。ガリレオとデカルトという近代科学成立期の中心人物の著作を読んでいきます。そこで考えるのは、「科学革命とは何だったのか？」、ということです。
平和構築論Ｂ,2019,第4クォーター,4H359,本講は、中東地域を事例として、国際関係論の主要な理論を再考し、代替理論を提示する。本稿を通じて、国際関係論の基本（欧米諸国が起源のモデル）と欧米ではない地域の政治を同時に体得することができる。非欧米地域を理解するためには他者であるオリエンタリズム（欧米による東洋への固定観念）を注意する視線が必要であると知られる。本講は、中東は観察対象の他者ではなく、日本の交流のパートナーであると見なすことで、これを乗り越える。また一次情報に基づいてイスラームや中東政治を考察する方法により、国家間戦争、国内戦争、テロリズムに関して分析し、途上国地域に適した理論を考案する。民主化移行期は武力紛争が起きる確率の高い危険な過程であると知られるが、民主化という理想と失敗を「アラブの春」以降の中東を事例に考えて見よう。本講は、アクティブラーニングの方法で授業を進める。英語版と日本語版の二元資料（パワーポイント）で講義する。
近現代経済思想論２,2019,第4クォーター,4H360,今日における資本主義の変容と統治問題　その２情報化やグローバル化をキーワードに語られる今日の資本主義が、18世紀以来の古典的資本主義とどのように異なり、また同じであるかを考える。その際、問題を経済的次元に限定させることなく、政治、とりわけ市場や人間の生そのものの管理や統治をめぐる諸思想との関連に留意する。
音声コミュニケーション論２,2019,第4クォーター,4H370,音響音声学入門
