,科目名,トピック分布
1722,途上国農村地域開発論,"[0, 0.30288678, 0.26696804, 0, 0, 0.40997338]"
1723,English for Professional Purposes A,"[0.16912468, 0, 0.38626263, 0.43663004, 0, 0]"
1724,保健体育科教育論Ｂ１,"[0, 0.18647937, 0, 0, 0.79485077, 0]"
1725,科学技術文明論１,"[0.037510753, 0.4465166, 0, 0.03942437, 0, 0.4690012]"
1726,平和構築論Ａ,"[0, 0, 0.8064714, 0.1866827, 0, 0]"
1727,近現代経済思想論１,"[0, 0, 0, 0, 0, 0.9767902]"
1728,音声コミュニケーション論１,"[0.03347714, 0.03345738, 0.033495698, 0.033673476, 0.8321291, 0.033767205]"
1729,統計情報処理１,"[0, 0, 0.5196243, 0.34807947, 0, 0.12353104]"
1730,グローバル文化形成発展演習Ａ,"[0, 0.5825388, 0.20040433, 0, 0, 0.21168199]"
1731,環境物質科学Ａ,"[0, 0.20667289, 0.23296852, 0, 0.540074, 0]"
1732,環境応用科学実験Ｂ１（生物環境）,"[0.023901608, 0.8787237, 0.024191832, 0.024782926, 0.024338009, 0.024061885]"
1733,地域景観生態論,"[0, 0.28798223, 0, 0.61098534, 0, 0.07810444]"
1734,障害児発達学１,"[0, 0, 0, 0.3396172, 0.6406362, 0]"
1735,障害児発達学１（障害者・障害児心理学１）,"[0, 0, 0, 0.33966514, 0.6405882, 0]"
1736,English for Professional Purposes B,"[0.16914769, 0, 0.38625473, 0.43661493, 0, 0]"
1737,科学技術文明論２,"[0, 0.844931, 0, 0, 0, 0.12807935]"
1738,平和構築論Ｂ,"[0, 0, 0.8064782, 0.18667592, 0, 0]"
1739,近現代経済思想論２,"[0, 0, 0, 0, 0, 0.97679186]"
1740,音声コミュニケーション論２,"[0.03347731, 0.03345754, 0.033495884, 0.03367588, 0.83208364, 0.03380976]"
1741,統計情報処理２,"[0, 0, 0.51962405, 0.3480794, 0, 0.12353128]"
1742,グローバル文化形成発展演習Ｂ,"[0, 0, 0.14882222, 0.58836955, 0.018649487, 0.23906855]"
1743,環境地球科学Ｂ,"[0, 0.40311158, 0, 0.5889864, 0, 0]"
1744,環境応用科学実験Ｂ２（生物環境）,"[0.0239016, 0.87876743, 0.024191841, 0.0247393, 0.02433792, 0.024061872]"
1745,スマート・ライフサイエンス,"[0.60893154, 0.04712963, 0, 0.17833385, 0.15021797, 0]"
1746,社会環境変動史,"[0, 0.34659782, 0, 0.14455232, 0.19098826, 0.30100292]"
1747,障害児発達学２,"[0.2204548, 0.18874626, 0, 0.3425728, 0, 0.24173886]"
1748,障害児発達学２（障害者・障害児心理学２）,"[0.22043493, 0.18872713, 0, 0.34258085, 0, 0.24176982]"
1749,知的障害支援学１,"[0.015366075, 0.01537495, 0.015196674, 0.015249397, 0.35834104, 0.5804719]"
1750,国際開発援助論（ＪＩＣＡ）１,"[0, 0.81143206, 0, 0.17510232, 0, 0]"
1751,オセアニア社会文化論Ａ,"[0.012950657, 0.012877223, 0.93539727, 0.012879471, 0.012899539, 0.012995852]"
1752,東南アジア政治文化論Ａ,"[0, 0.6883389, 0.14504161, 0, 0, 0.14555626]"
1753,比較民族学１,"[0, 0, 0.6076562, 0.116988644, 0, 0.25432527]"
1754,グローバル文化形成発展演習Ｃ,"[0.02102966, 0.021021834, 0.021088075, 0.020937579, 0.020905975, 0.89501685]"
1755,グローバル文化形成発展演習Ｃ,"[0.014001899, 0.014402885, 0.63258535, 0.014025677, 0.01403288, 0.31095138]"
1756,グローバル文化形成発展演習Ｃ,"[0.7210208, 0.0562889, 0.055655982, 0.055721898, 0.055655863, 0.055656545]"
1757,社会教育課題研究（ジェンダー問題学習論）１,"[0.7670771, 0, 0, 0, 0, 0.212491]"
1758,心理学実験法,"[0.015190159, 0.015315522, 0.015311741, 0.92357385, 0.015367084, 0.0152416695]"
1759,音楽集団活動論１,"[0, 0, 0, 0, 0.9752088, 0]"
1760,初等生徒指導論（進路指導を含む）１,"[0.22065918, 0.18062337, 0.011271973, 0.011203667, 0.56496894, 0.011272896]"
1761,グローバル教育演習（科学教育）１,"[0.013975943, 0.014069034, 0.1988599, 0.74499553, 0.014064085, 0.014035469]"
1762,国際開発援助論（ＪＩＣＡ）２,"[0, 0.81143653, 0, 0.1750979, 0, 0]"
1763,オセアニア社会文化論Ｂ,"[0.6927038, 0, 0.28325328, 0, 0, 0]"
1764,東南アジア政治文化論Ｂ,"[0, 0.6883489, 0.14497846, 0, 0, 0.14560941]"
1765,比較民族学２,"[0, 0, 0.6076057, 0.11682205, 0, 0.25454232]"
1766,グローバル文化形成発展演習Ｄ,"[0.021029731, 0.02102192, 0.0211063, 0.020937616, 0.020906, 0.89499843]"
1767,グローバル文化形成発展演習Ｄ,"[0.014001892, 0.0143958535, 0.63267946, 0.014025664, 0.01403288, 0.3108642]"
1768,グローバル文化形成発展演習Ｄ,"[0.7210531, 0.056257002, 0.055655908, 0.05572176, 0.05565579, 0.05565647]"
1769,社会教育課題研究（ジェンダー問題学習論）２,"[0.76706505, 0, 0, 0, 0, 0.21250308]"
1770,心理学観察法,"[0.015255631, 0.015356564, 0.0153224785, 0.3542974, 0.58454037, 0.015227602]"
1771,音楽集団活動論２,"[0, 0, 0, 0, 0.9752112, 0]"
1772,初等生徒指導論（進路指導を含む）２,"[0.22069542, 0.18058528, 0.011271967, 0.011203666, 0.5649708, 0.011272891]"
1773,グローバル教育演習（科学教育）２,"[0.011979287, 0.012062277, 0.14114475, 0.3483402, 0.012065773, 0.4744077]"
1774,ＴＯＥＦＬ演習Ａ,"[0, 0, 0, 0, 0.9678674, 0]"
1775,博物館経営論１,"[0.09847469, 0, 0.09994335, 0.39838347, 0, 0.39074692]"
1776,文化政策論Ａ,"[0, 0, 0.46618697, 0.33672792, 0, 0.18714885]"
1777,東南アジア社会文化論Ａ,"[0, 0.19549105, 0.2999624, 0.02014957, 0.45030022, 0.03140446]"
1778,グローバル文化形成発展演習Ａ,"[0.016875379, 0.016839666, 0.0168274, 0.9156885, 0.01691074, 0.016858289]"
1779,グローバル文化形成発展演習Ａ,"[0.028132303, 0.02813533, 0.028166352, 0.027972817, 0.027888305, 0.8597049]"
1780,グローバル社会動態発展演習Ａ,"[0, 0, 0, 0, 0, 0.9531718]"
1781,グローバルコミュニケーション発展演習Ａ,"[0.36150277, 0.012994804, 0.012979863, 0.012977027, 0.23483844, 0.36470708]"
1782,コミュニティ論,"[0, 0, 0, 0.70567656, 0, 0.2622629]"
1783,心理学調査法１,"[0.018569222, 0.018775422, 0.018657029, 0.90656596, 0.018802864, 0.018629497]"
1784,心理学調査法１（心理学研究法１）,"[0.018569224, 0.0187811, 0.018657038, 0.9065632, 0.018799903, 0.0186295]"
1785,コミュニティと音楽１,"[0, 0, 0, 0, 0.73233265, 0.23964569]"
1786,声楽アンサンブル１,"[0, 0.794475, 0, 0, 0.1901436, 0]"
1787,教育原理（世界と日本の学校教育）１,"[0, 0, 0, 0, 0, 0.955855]"
1788,グローバル教育演習（教育方法学）１,"[0.5691621, 0.34665528, 0.020913139, 0.020940833, 0.021232674, 0.021096002]"
1789,乳幼児教育課程論１,"[0, 0.3039348, 0, 0.66252935, 0, 0]"
1790,グローバル文化特別演習Ａ,"[0, 0.06549275, 0, 0.13744858, 0.14445706, 0.643748]"
1791,グローバル文化特別演習Ａ,"[0.7908529, 0.042038295, 0.041781064, 0.041829336, 0.041719746, 0.041778624]"
1792,ＴＯＥＦＬ演習Ｂ,"[0, 0, 0, 0, 0.96786726, 0]"
1793,博物館経営論２,"[0.12969455, 0, 0.09098522, 0.4375724, 0, 0.33092907]"
1794,文化政策論Ｂ,"[0, 0, 0.79204386, 0, 0, 0.19539791]"
1795,東南アジア社会文化論Ｂ,"[0, 0.31198558, 0.42007026, 0, 0, 0.24988835]"
1796,グローバル文化形成発展演習Ｂ,"[0.016852768, 0.016813878, 0.016867843, 0.3617917, 0.5708163, 0.016857479]"
1797,グローバル文化形成発展演習Ｂ,"[0.028132694, 0.028136658, 0.028207537, 0.027972978, 0.027888393, 0.85966176]"
1798,グローバル社会動態発展演習Ｂ,"[0, 0, 0, 0, 0, 0.9531602]"
1799,グローバルコミュニケーション発展演習Ｂ,"[0.03348811, 0.033452418, 0.03353096, 0.033529174, 0.033645168, 0.8323541]"
1800,心理学調査法２,"[0.015190566, 0.015329858, 0.015314195, 0.92354614, 0.01536486, 0.015254398]"
1801,心理学調査法２（心理学研究法２）,"[0.015190573, 0.015329897, 0.015314308, 0.9235331, 0.015377751, 0.01525442]"
1802,コミュニティと音楽２,"[0, 0, 0, 0, 0.73234665, 0.23963171]"
1803,声楽アンサンブル２,"[0, 0.7941102, 0, 0, 0.19050843, 0]"
1804,教育原理（世界と日本の学校教育）２,"[0, 0, 0, 0, 0, 0.95585555]"
1805,グローバル教育演習（教育方法学）２,"[0.56923413, 0.34658375, 0.020913169, 0.020940823, 0.021232193, 0.021095969]"
1806,知的障害支援学２,"[0.0120761935, 0.012014833, 0.011993889, 0.10253897, 0.5716903, 0.2896858]"
1807,乳幼児教育課程論２,"[0, 0.44696692, 0.07026284, 0.40410274, 0.06462, 0]"
1808,グローバル文化特別演習Ｂ,"[0.71393156, 0, 0, 0, 0.15019426, 0.13140284]"
1809,グローバル文化特別演習Ｂ,"[0.7908845, 0.042007267, 0.041780945, 0.041829105, 0.041719694, 0.041778505]"
1810,教育原理１,"[0.015252277, 0.015330648, 0.015237982, 0.9235575, 0.015266996, 0.015354529]"
1811,Aspects of EU Culture and Society (Lecture) A,"[0.98822904, 0, 0, 0, 0, 0]"
1812,初等音楽論１,"[0.015252412, 0.015256956, 0.015285085, 0.9235358, 0.015443297, 0.015226427]"
1813,Aspects of EU Culture and Society (Lecture) A（高度教養科目）,"[0.9882286, 0, 0, 0, 0, 0]"
1814,教育原理２,"[0.015252267, 0.015330564, 0.015237974, 0.9235642, 0.015266984, 0.015348061]"
1815,Aspects of EU Culture and Society (Lecture) B,"[0.9882286, 0, 0, 0, 0, 0]"
1816,初等音楽論２,"[0.016767772, 0.016785705, 0.016765296, 0.5274089, 0.40552074, 0.016751543]"
1817,Aspects of EU Culture and Society (Lecture) B（高度教養科目）,"[0.9882286, 0, 0, 0, 0, 0]"
1818,中等生徒指導論１,"[0.14969298, 0, 0, 0, 0.37555188, 0.4527642]"
1819,東欧・ロシア社会文化論Ａ,"[0, 0.9799542, 0, 0, 0, 0]"
1820,グローバル文化形成発展演習Ａ,"[0.03338543, 0.033669636, 0.033483684, 0.03347159, 0.033459235, 0.83253044]"
1821,グローバル文化特別演習Ａ,"[0.055822242, 0.7214718, 0.055793248, 0.05569483, 0.05557204, 0.055645894]"
1822,グローバル文化特別演習Ａ,"[0.22202747, 0.011990718, 0.0120794205, 0.7298371, 0.012048962, 0.012016344]"
1823,中等生徒指導論２,"[0.14966235, 0, 0, 0, 0.37559187, 0.45275488]"
1824,東欧・ロシア社会文化論Ｂ,"[0, 0.9799542, 0, 0, 0, 0]"
1825,グローバル文化形成発展演習Ｂ,"[0.033385426, 0.03366924, 0.03348368, 0.033471588, 0.033459228, 0.83253086]"
1826,グローバル文化特別演習Ｂ,"[0.055822376, 0.7214721, 0.055792827, 0.055694796, 0.05557204, 0.05564589]"
1827,グローバル文化特別演習Ｂ,"[0.23160066, 0.011990483, 0.012078781, 0.7202655, 0.012048292, 0.012016245]"
1828,環境生命科学Ａ,"[0, 0, 0, 0, 0.96174735, 0]"
1829,環境形成科学実験Ｂ,"[0.0151890535, 0.18468283, 0.7543082, 0.015354365, 0.01524036, 0.015225235]"
1830,コミュニティ創成論,"[0.010463172, 0.010507812, 0.9474805, 0.0105343005, 0.010516608, 0.010497641]"
1831,コミュニティ創成論,"[0.010463163, 0.010507724, 0.9474881, 0.0105267735, 0.010516582, 0.010497626]"
1832,地域社会学,"[0.056106396, 0.05575488, 0.720183, 0.056042936, 0.055886008, 0.056026798]"
1833,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1834,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1835,初年次セミナー,"[0, 0, 0, 0.9712197, 0, 0]"
1836,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1837,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1838,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1839,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
1840,初年次セミナー,"[0, 0, 0, 0.97122025, 0, 0]"
1841,初年次セミナー,"[0, 0, 0, 0.97121996, 0, 0]"
1842,初年次セミナー,"[0, 0, 0, 0.96365625, 0, 0]"
1843,初年次セミナー,"[0, 0, 0, 0.965176, 0, 0]"
1844,初年次セミナー,"[0, 0, 0, 0.9636551, 0, 0]"
1845,初年次セミナー,"[0, 0, 0, 0.963656, 0, 0]"
1846,初年次セミナー,"[0, 0, 0, 0.96365637, 0, 0]"
1847,初年次セミナー,"[0.018541066, 0.01860288, 0.018533323, 0.9071716, 0.018568313, 0.018582843]"
1848,初年次セミナー,"[0.018541064, 0.018603068, 0.018533321, 0.9071715, 0.01856831, 0.018582758]"
1849,初年次セミナー,"[0.018541064, 0.018602934, 0.018533321, 0.9071717, 0.018568307, 0.018582685]"
1850,初年次セミナー,"[0.018541064, 0.018603185, 0.018533321, 0.9071711, 0.01856831, 0.018582992]"
1851,初年次セミナー,"[0, 0, 0, 0.9712209, 0, 0]"
1852,フィールドワーク方法論,"[0.89522475, 0.020916328, 0.020948166, 0.020993134, 0.020941274, 0.020976316]"
1853,English Presentation Skills A,"[0, 0, 0, 0, 0.9790537, 0]"
1854,数学科教育論Ｃ１,"[0.021205163, 0.021067703, 0.020946432, 0.83480346, 0.08090531, 0.02107194]"
1855,博物館展示論１,"[0.9506565, 0, 0, 0, 0, 0]"
1856,日欧比較セミナーIIIＡ,"[0, 0, 0.9881738, 0, 0, 0]"
1857,アートマネジメント論１,"[0, 0, 0, 0, 0, 0.96179503]"
1858,初等家庭科教育論１,"[0.56276214, 0.01525395, 0.015220164, 0.3762235, 0.015280163, 0.015260038]"
1859,グローバル教育演習（教育行政学）１,"[0.041697156, 0.7909682, 0.04204883, 0.041814227, 0.041696683, 0.041774906]"
1860,グローバルイシュー演習,"[0, 0, 0.96365714, 0, 0, 0]"
1861,グローバルイシュー演習,"[0, 0, 0.96365815, 0, 0, 0]"
1862,グローバルイシュー演習,"[0, 0, 0.96365744, 0, 0, 0]"
1863,グローバルイシュー演習,"[0, 0, 0.96365744, 0, 0, 0]"
1864,グローバルイシュー演習,"[0.016875386, 0.016839672, 0.016827406, 0.91568774, 0.016911529, 0.016858295]"
1865,グローバルイシュー演習,"[0, 0, 0.9636574, 0, 0, 0]"
1866,グローバルイシュー演習,"[0, 0, 0.9636568, 0, 0, 0]"
1867,グローバルイシュー演習,"[0, 0, 0.96365744, 0, 0, 0]"
1868,グローバルイシュー演習,"[0, 0, 0.96365905, 0, 0, 0]"
1869,グローバルイシュー演習,"[0.02390036, 0.02392366, 0.024049444, 0.024001805, 0.88015175, 0.023972949]"
1870,グローバルイシュー演習,"[0.027840663, 0.02780112, 0.8608495, 0.027807347, 0.02785996, 0.027841423]"
1871,グローバルイシュー演習,"[0.027840767, 0.027801126, 0.86084867, 0.027807353, 0.027860576, 0.027841477]"
1872,グローバルイシュー演習,"[0.027840685, 0.027801126, 0.8608491, 0.02780735, 0.027860386, 0.02784136]"
1873,グローバルイシュー演習,"[0.027840657, 0.027801123, 0.86084914, 0.02780735, 0.027860302, 0.027841363]"
1874,グローバルイシュー演習,"[0.023900358, 0.02392366, 0.024048634, 0.024002064, 0.8801523, 0.023972945]"
1875,グローバルイシュー演習,"[0.023900349, 0.023923647, 0.024045851, 0.024001809, 0.8801554, 0.02397293]"
1876,グローバルイシュー演習,"[0.023900345, 0.023923641, 0.024043866, 0.02400174, 0.8801575, 0.023972915]"
1877,グローバルイシュー演習,"[0.023900388, 0.0239237, 0.02406018, 0.024003927, 0.88013875, 0.023973046]"
1878,グローバルイシュー演習,"[0.023900364, 0.023923665, 0.024051337, 0.024001785, 0.8801499, 0.023972958]"
1879,グローバルイシュー演習,"[0, 0, 0.96011883, 0, 0, 0]"
1880,English Presentation Skills B,"[0, 0, 0, 0, 0.9790552, 0]"
1881,数学科教育論Ｃ２,"[0.021194858, 0.021061782, 0.020943947, 0.8937925, 0.021943944, 0.021062948]"
1882,博物館展示論２,"[0.41868863, 0.010456943, 0.01047785, 0.01065192, 0.010463828, 0.53926086]"
1883,日欧比較セミナーIIIＢ,"[0, 0, 0.988174, 0, 0, 0]"
1884,アートマネジメント論２,"[0, 0, 0.115438774, 0.14124446, 0, 0.7253078]"
1885,スイミング＆アクアティックスポーツ実習１,"[0, 0, 0.74885625, 0.06210607, 0, 0.17160195]"
1886,初等家庭科教育論２,"[0.8087791, 0, 0, 0.15591569, 0, 0]"
1887,グローバル教育演習（教育行政学）２,"[0.041697167, 0.79096067, 0.042056292, 0.041814264, 0.04169669, 0.041774932]"
1888,情報リテラシー演習１,"[0.010464169, 0.0104639605, 0.010501416, 0.010561301, 0.9475315, 0.01047764]"
1889,情報リテラシー演習１,"[0, 0, 0, 0.15590508, 0.7412325, 0.08488461]"
1890,English for Professional Purposes A,"[0.16910954, 0, 0.38629296, 0.43661484, 0, 0]"
1891,Lectures on Cultural Formations,"[0.936694, 0, 0.05445525, 0, 0, 0]"
1892,グローバル文化形成基礎演習Ａ,"[0.055625737, 0.05594443, 0.055667106, 0.055594746, 0.4010079, 0.3761601]"
1893,グローバル文化形成基礎演習Ａ,"[0, 0.1667954, 0.371243, 0.4354194, 0, 0]"
1894,グローバル文化形成基礎演習Ａ,"[0.016801614, 0.016877597, 0.016787274, 0.30442604, 0.016807087, 0.6283004]"
1895,グローバル文化形成基礎演習Ａ,"[0.015180068, 0.015193142, 0.015187951, 0.015211011, 0.015201213, 0.9240266]"
1896,グローバル文化形成基礎演習Ａ,"[0, 0, 0.21237215, 0.18065576, 0.59335244, 0]"
1897,グローバル社会動態基礎演習Ａ,"[0.012866385, 0.012875214, 0.013013523, 0.013083888, 0.012918501, 0.9352425]"
1898,グローバル社会動態基礎演習Ａ,"[0, 0, 0.50063723, 0.26895118, 0.21984623, 0]"
1899,グローバル社会動態基礎演習Ａ,"[0.014062968, 0.9296823, 0.014081599, 0.01406017, 0.014112944, 0.0139999725]"
1900,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.97501504, 0, 0.01773516, 0]"
1901,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.96436375, 0.029675089, 0, 0]"
1902,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.9678898, 0, 0.027049894, 0]"
1903,発達コミュニティ演習１,"[0.03352718, 0.034161918, 0.56758994, 0.2977549, 0.033506587, 0.033459444]"
1904,発達コミュニティ演習１,"[0.011986479, 0.9399667, 0.011992121, 0.012007542, 0.012016322, 0.012030896]"
1905,運動の巧みさの科学１,"[0, 0, 0, 0, 0, 0.9872475]"
1906,初等家庭科論１,"[0.9533422, 0, 0, 0, 0, 0]"
1907,情報リテラシー演習２,"[0, 0, 0, 0.9580998, 0, 0]"
1908,情報リテラシー演習２,"[0, 0, 0, 0.95341474, 0, 0]"
1909,English for Professional Purposes B,"[0.16905133, 0, 0.38645735, 0.43650866, 0, 0]"
1910,グローバル文化形成基礎演習Ｂ,"[0.13156822, 0, 0.81115484, 0, 0.044498455, 0]"
1911,グローバル文化形成基礎演習Ｂ,"[0, 0, 0.21248406, 0.76162905, 0, 0]"
1912,グローバル文化形成基礎演習Ｂ,"[0.016801538, 0.016879067, 0.016787231, 0.30481115, 0.016807094, 0.6279139]"
1913,グローバル文化形成基礎演習Ｂ,"[0, 0, 0, 0.09436669, 0.80746025, 0.08331225]"
1914,グローバル文化形成基礎演習Ｂ,"[0, 0, 0.21241736, 0.1806486, 0.59331435, 0]"
1915,グローバル社会動態基礎演習Ｂ,"[0.012866381, 0.01287521, 0.013017108, 0.013067613, 0.012918489, 0.93525517]"
1916,グローバル社会動態基礎演習Ｂ,"[0, 0.08587539, 0.02371524, 0.70728284, 0, 0.17488065]"
1917,グローバル社会動態基礎演習Ｂ,"[0, 0.39339533, 0, 0, 0.56914157, 0]"
1918,グローバルコミュニケーション基礎演習Ｂ,"[0.011194883, 0.011172647, 0.011259858, 0.011273549, 0.011226698, 0.94387233]"
1919,グローバルコミュニケーション基礎演習Ｂ,"[0.13939078, 0.012917874, 0.012909143, 0.012974874, 0.80885845, 0.01294887]"
1920,グローバルコミュニケーション基礎演習Ｂ,"[0, 0, 0.04664237, 0, 0, 0.9309133]"
1921,発達コミュニティ演習２,"[0.033527162, 0.03416212, 0.5674853, 0.2978594, 0.033506565, 0.03345942]"
1922,発達コミュニティ演習２,"[0.011986484, 0.93996465, 0.0119921295, 0.012008479, 0.012017909, 0.012030383]"
1923,運動の巧みさの科学２,"[0, 0, 0, 0, 0, 0.9866432]"
1924,数理科学研究Ｂ,"[0.011139035, 0.011178862, 0.011177046, 0.9441813, 0.011140642, 0.011183121]"
1925,初等家庭科論２,"[0.86265695, 0.10163302, 0, 0.012840981, 0, 0]"
1926,Academic Communication（英）Ａ,"[0, 0, 0, 0.8699257, 0.107757546, 0]"
1927,Academic Communication（英）Ａ,"[0.97743666, 0, 0, 0, 0, 0]"
1928,Academic Communication（英）Ａ,"[0.9774368, 0, 0, 0, 0, 0]"
1929,Academic Communication（英）Ａ,"[0.9774368, 0, 0, 0, 0, 0]"
1930,Academic Communication（英）Ａ,"[0.9774368, 0, 0, 0, 0, 0]"
1931,Academic Communication（英）Ａ,"[0.97743607, 0, 0, 0, 0, 0]"
1932,Academic Communication（英）Ａ,"[0.97743416, 0, 0, 0, 0, 0]"
1933,中等特別活動指導論１,"[0.014103988, 0.0139872255, 0.013927201, 0.9300349, 0.013984976, 0.0139617715]"
1934,発達コミュニティ概論１,"[0, 0.1381739, 0, 0.20017278, 0, 0.6476661]"
1935,ファッション文化論,"[0.056112412, 0.055956334, 0.05602111, 0.380243, 0.39596137, 0.055705808]"
1936,環境共生学概論１,"[0, 0.7404226, 0.12659512, 0.12149377, 0, 0]"
1937,子ども教育学概論１,"[0.012908668, 0.013031847, 0.38537952, 0.012991134, 0.012940727, 0.5627481]"
1938,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60210514, 0.37821233, 0]"
1939,Academic Communication（英）Ｂ,"[0.97743684, 0, 0, 0, 0, 0]"
1940,Academic Communication（英）Ｂ,"[0.97743684, 0, 0, 0, 0, 0]"
1941,Academic Communication（英）Ｂ,"[0.97743666, 0, 0, 0, 0, 0]"
1942,Academic Communication（英）Ｂ,"[0.97743607, 0, 0, 0, 0, 0]"
1943,Academic Communication（英）Ｂ,"[0.9774368, 0, 0, 0, 0, 0]"
1944,Academic Communication（英）Ｂ,"[0.9774368, 0, 0, 0, 0, 0]"
1945,中等特別活動指導論２,"[0.014102085, 0.013987221, 0.013927197, 0.9300368, 0.013984972, 0.013961767]"
1946,発達コミュニティ概論２,"[0, 0.24698706, 0.07841038, 0.5493545, 0.1180612, 0]"
1947,芸術批評演習,"[0.56298316, 0, 0, 0, 0.22865874, 0.18957873]"
1948,環境共生学概論２,"[0.085195564, 0.29174808, 0.48924008, 0, 0.0742351, 0.055439122]"
1949,子ども教育学概論２,"[0.0129086925, 0.013032448, 0.38716286, 0.012991237, 0.012940919, 0.56096387]"
1950,Academic Writing（英）Ａ,"[0.9809458, 0, 0, 0, 0, 0]"
1951,Academic Writing（英）Ａ,"[0, 0, 0.98453563, 0, 0, 0]"
1952,Academic Writing（英）Ａ,"[0, 0, 0.98453575, 0, 0, 0]"
1953,Academic Writing（英）Ａ,"[0, 0, 0.98453563, 0, 0, 0]"
1954,Academic Writing（英）Ａ,"[0, 0, 0.9845357, 0, 0, 0]"
1955,ＴＯＥＦＬ演習Ａ,"[0, 0, 0, 0, 0.9759885, 0]"
1956,加齢の認知心理学１,"[0, 0.9852406, 0, 0, 0, 0]"
1957,加齢の認知心理学１（知覚・認知心理学１）,"[0, 0.9852398, 0, 0, 0, 0]"
1958,コミュニティと表象Ａ,"[0, 0, 0, 0.19753885, 0, 0.7800392]"
1959,スポーツコミュニティ形成論１,"[0, 0, 0, 0.16715404, 0.635241, 0.17470397]"
1960,創造の発想とプロセスＢ,"[0.027958162, 0.027822929, 0.86013263, 0.02803175, 0.027930606, 0.02812392]"
1961,環境共生学概論３,"[0, 0, 0.107782155, 0.30372366, 0.23303768, 0.34883887]"
1962,数理科学研究Ａ,"[0, 0.570231, 0.16473067, 0.19341299, 0.067462556, 0]"
1963,環境形成科学演習３,"[0, 0, 0, 0, 0, 0.9687889]"
1964,環境形成科学演習３,"[0.04190236, 0.042033102, 0.042016193, 0.041897256, 0.04191558, 0.7902355]"
1965,国際文化理解教育論１,"[0, 0.09986885, 0, 0, 0, 0.88609695]"
1966,保育内容研究（健康II）１,"[0.011147205, 0.94404507, 0.011132993, 0.011237525, 0.011284552, 0.011152662]"
1967,Academic Writing（英）Ｂ,"[0.98253417, 0, 0, 0, 0, 0]"
1968,Academic Writing（英）Ｂ,"[0, 0, 0.9845357, 0, 0, 0]"
1969,Academic Writing（英）Ｂ,"[0, 0, 0.98453575, 0, 0, 0]"
1970,Academic Writing（英）Ｂ,"[0, 0, 0.98453575, 0, 0, 0]"
1971,Academic Writing（英）Ｂ,"[0, 0, 0.9845356, 0, 0, 0]"
1972,ＴＯＥＦＬ演習Ｂ,"[0, 0, 0, 0, 0.97598314, 0]"
1973,加齢の認知心理学２,"[0, 0.9852379, 0, 0, 0, 0]"
1974,加齢の認知心理学２（知覚・認知心理学２）,"[0, 0.98524076, 0, 0, 0, 0]"
1975,コミュニティと表象Ｂ,"[0, 0, 0.5518229, 0, 0, 0.42493054]"
1976,スポーツコミュニティ形成論２,"[0, 0, 0, 0.1671492, 0.6352502, 0.17469954]"
1977,創造の発想とプロセスＡ,"[0.011158188, 0.011156488, 0.807577, 0.011190269, 0.011177567, 0.14774048]"
1978,市民科学教育論,"[0.93517196, 0.0129952375, 0.012979998, 0.0129641015, 0.012910064, 0.012978642]"
1979,環境形成科学演習４,"[0, 0.11120056, 0.22802131, 0, 0, 0.64211506]"
1980,環境形成科学演習４,"[0.041902393, 0.042035628, 0.042016454, 0.041897293, 0.041915625, 0.7902326]"
1981,国際文化理解教育論２,"[0.015303167, 0.01544416, 0.015285168, 0.6319661, 0.30669686, 0.015304521]"
1982,保育内容研究（健康II）２,"[0.0111472, 0.9440571, 0.011132989, 0.011237499, 0.011272501, 0.011152655]"
1983,Academic Communication（英）Ａ,"[0, 0, 0, 0.8707993, 0.10688391, 0]"
1984,Academic Communication（英）Ａ,"[0.97743493, 0, 0, 0, 0, 0]"
1985,Academic Communication（英）Ａ,"[0.97743684, 0, 0, 0, 0, 0]"
1986,Academic Communication（英）Ａ,"[0.97743696, 0, 0, 0, 0, 0]"
1987,Academic Communication（英）Ａ,"[0.97743624, 0, 0, 0, 0, 0]"
1988,Academic Communication（英）Ａ,"[0.97743654, 0, 0, 0, 0, 0]"
1989,Academic Communication（英）Ａ,"[0.97743636, 0, 0, 0, 0, 0]"
1990,初等特別活動指導論１,"[0.14026365, 0, 0.25090513, 0.5877635, 0, 0]"
1991,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60208607, 0.37823135, 0]"
1992,Academic Communication（英）Ｂ,"[0.97743684, 0, 0, 0, 0, 0]"
1993,Academic Communication（英）Ｂ,"[0.9774364, 0, 0, 0, 0, 0]"
1994,Academic Communication（英）Ｂ,"[0.9774368, 0, 0, 0, 0, 0]"
1995,Academic Communication（英）Ｂ,"[0.97743666, 0, 0, 0, 0, 0]"
1996,Academic Communication（英）Ｂ,"[0.97743595, 0, 0, 0, 0, 0]"
